spin_half,charge_1_3,has_charge,Strong,EM,Weak,logMass,stable_band,novelty,novelty_norm,propagation_fraction,measurability,score_v02,universal_potential_speed_mps
0,-5,1,1,1,0,-2,1,1.5699849068413845,0.8905847457412202,0.0,0.8,0.7698216101576711,299792458
0,-5,1,1,1,0,5,0,1.5699849068413845,0.8905847457412202,0.0,0.8,0.7698216101576711,299792458
0,-5,1,1,1,0,2,1,1.5699849068413845,0.8905847457412202,0.0,0.8,0.7698216101576711,299792458
0,-4,1,1,1,0,-7,1,1.5699849068413845,0.8905847457412202,0.0,0.8,0.7698216101576711,299792458
0,6,1,1,1,0,2,1,1.5699849068413845,0.8905847457412202,0.0,0.8,0.7698216101576711,299792458
0,6,1,1,1,0,1,1,1.565102707575695,0.8878152846000683,0.0,0.8,0.7682984065300376,299792458
0,6,1,1,1,0,-1,1,1.565102707575695,0.8878152846000683,0.0,0.8,0.7682984065300376,299792458
0,-5,1,1,1,0,4,0,1.565102707575695,0.8878152846000683,0.0,0.8,0.7682984065300376,299792458
0,-4,1,1,1,0,-8,1,1.565102707575695,0.8878152846000683,0.0,0.8,0.7682984065300376,299792458
0,-5,1,1,1,0,-1,1,1.565102707575695,0.8878152846000683,0.0,0.8,0.7682984065300376,299792458
0,-5,1,1,1,0,2,0,1.565102707575695,0.8878152846000683,0.0,0.8,0.7682984065300376,299792458
0,-5,1,1,1,0,1,1,1.565102707575695,0.8878152846000683,0.0,0.8,0.7682984065300376,299792458
0,-5,1,1,1,0,0,0,1.565102707575695,0.8878152846000683,0.0,0.8,0.7682984065300376,299792458
0,-5,1,1,1,0,1,0,1.5634719199411433,0.8868902090884846,0.0,0.8,0.7677896149986665,299792458
0,-5,1,1,1,0,0,1,1.5634719199411433,0.8868902090884846,0.0,0.8,0.7677896149986665,299792458
0,6,1,1,1,0,0,1,1.5634719199411433,0.8868902090884846,0.0,0.8,0.7677896149986665,299792458
0,-5,1,1,1,0,3,0,1.5634719199411433,0.8868902090884846,0.0,0.8,0.7677896149986665,299792458
0,3,1,1,1,0,-6,0,1.562383782525992,0.8862729556493075,0.0,0.8,0.7674501256071191,299792458
0,-2,1,1,1,0,-8,0,1.562383782525992,0.8862729556493075,0.0,0.8,0.7674501256071191,299792458
0,5,1,1,1,0,-4,0,1.5612948867385716,0.8856552720182402,0.0,0.8,0.7671103996100321,299792458
0,4,1,1,1,0,-8,1,1.5612948867385716,0.8856552720182402,0.0,0.8,0.7671103996100321,299792458
0,1,1,1,1,0,-7,0,1.5612948867385716,0.8856552720182402,0.0,0.8,0.7671103996100321,299792458
0,-3,1,1,1,0,-7,0,1.5612948867385716,0.8856552720182402,0.0,0.8,0.7671103996100321,299792458
0,4,1,1,1,0,-5,0,1.5612948867385716,0.8856552720182402,0.0,0.8,0.7671103996100321,299792458
0,-4,1,1,1,0,-6,1,1.5600235477029682,0.8849340961987532,0.0,0.8,0.7667137529093142,299792458
0,6,1,1,1,0,-2,0,1.5600235477029682,0.8849340961987532,0.0,0.8,0.7667137529093142,299792458
0,5,1,1,1,0,-6,1,1.5600235477029682,0.8849340961987532,0.0,0.8,0.7667137529093142,299792458
0,-4,1,1,1,0,-5,0,1.5600235477029682,0.8849340961987532,0.0,0.8,0.7667137529093142,299792458
0,-6,1,1,1,1,-3,0,1.3326954256339554,0.7559806540921183,0.0,1.0,0.7657893597506651,299792458
0,-6,1,1,1,1,-4,1,1.3326954256339554,0.7559806540921183,0.0,1.0,0.7657893597506651,299792458
0,6,1,1,1,1,-8,1,1.3307798678554401,0.7548940407560935,0.0,1.0,0.7651917224158514,299792458
0,-5,1,1,1,1,-8,1,1.33077986785544,0.7548940407560933,0.0,1.0,0.7651917224158513,299792458
0,-5,1,1,1,1,-7,0,1.33077986785544,0.7548940407560933,0.0,1.0,0.7651917224158513,299792458
0,-1,1,1,1,0,-8,0,1.5534687979236816,0.8812158692653951,0.0,0.8,0.7646687280959673,299792458
0,2,1,1,1,0,-6,0,1.5534687979236816,0.8812158692653951,0.0,0.8,0.7646687280959673,299792458
0,6,1,1,1,1,-6,0,1.3267268300719077,0.7525949271734103,0.0,1.0,0.7639272099453757,299792458
0,-6,1,1,1,1,3,1,1.319228112113816,0.748341227792613,0.0,1.0,0.7615876752859372,299792458
0,-6,1,1,1,1,-3,1,1.319228112113816,0.748341227792613,0.0,1.0,0.7615876752859372,299792458
0,-6,1,1,1,1,-2,0,1.319228112113816,0.748341227792613,0.0,1.0,0.7615876752859372,299792458
0,-4,1,1,1,0,-4,0,1.5419309389230644,0.874670939323912,0.0,0.8,0.7610690166281516,299792458
0,-4,1,1,1,0,-5,1,1.5419309389230644,0.874670939323912,0.0,0.8,0.7610690166281516,299792458
0,6,1,1,1,0,-1,0,1.5419309389230644,0.874670939323912,0.0,0.8,0.7610690166281516,299792458
